ID,slug,reward,status,submission_result
47,count-number-of-possible-root-nodes,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '567 ms', 'memory': 230672000, 'display_runtime': '567', 'question_id': '2652', 'elapsed_time': 991, 'compare_result': '111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742374306222, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 51, 'total_testcases': 51, 'runtime_percentile': 34.84660000000022, 'status_memory': '230.7 MB', 'memory_percentile': 37.11990000000016, 'pretty_lang': 'C++', 'submission_id': '1578868731', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
48,special-binary-string,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '3 ms', 'memory': 9328000, 'display_runtime': '3', 'question_id': '763', 'elapsed_time': 12, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742374452199, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 87, 'total_testcases': 87, 'runtime_percentile': 23.0769, 'status_memory': '9.3 MB', 'memory_percentile': 61.53830000000001, 'pretty_lang': 'C++', 'submission_id': '1578870669', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
49,implement-stack-using-queues,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 9352000, 'display_runtime': '0', 'question_id': '225', 'elapsed_time': 11, 'compare_result': '111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742374585683, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 18, 'total_testcases': 18, 'runtime_percentile': 100, 'status_memory': '9.4 MB', 'memory_percentile': 85.2565, 'pretty_lang': 'C++', 'submission_id': '1578872547', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
51,longest-well-performing-interval,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '15 ms', 'memory': 26876000, 'display_runtime': '15', 'question_id': '1219', 'elapsed_time': 43, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742375429579, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 98, 'total_testcases': 98, 'runtime_percentile': 28.969399999999997, 'status_memory': '26.9 MB', 'memory_percentile': 72.70190000000001, 'pretty_lang': 'C++', 'submission_id': '1578883665', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
52,final-value-of-variable-after-performing-operations,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 17756000, 'display_runtime': '0', 'question_id': '2137', 'elapsed_time': 19, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742375484773, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 259, 'total_testcases': 259, 'runtime_percentile': 100, 'status_memory': '17.8 MB', 'memory_percentile': 8.718800000000002, 'pretty_lang': 'C++', 'submission_id': '1578884398', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
346,knight-dialer,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '107 ms', 'memory': 8844000, 'display_runtime': '107', 'question_id': '972', 'elapsed_time': 143, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742375704051, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 121, 'total_testcases': 121, 'runtime_percentile': 39.00250000000001, 'status_memory': '8.8 MB', 'memory_percentile': 85.85020000000002, 'pretty_lang': 'C++', 'submission_id': '1578887305', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
347,find-the-difference-of-two-arrays,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '22 ms', 'memory': 37704000, 'display_runtime': '22', 'question_id': '1392', 'elapsed_time': 61, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742375794560, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 202, 'total_testcases': 202, 'runtime_percentile': 62.21390000000002, 'status_memory': '37.7 MB', 'memory_percentile': 28.45430000000002, 'pretty_lang': 'C++', 'submission_id': '1578888497', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
348,longest-common-prefix,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 12068000, 'display_runtime': '0', 'question_id': '14', 'elapsed_time': 33, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742375883888, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 126, 'total_testcases': 126, 'runtime_percentile': 100, 'status_memory': '12.1 MB', 'memory_percentile': 36.81070000000001, 'pretty_lang': 'C++', 'submission_id': '1578889698', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
349,count-negative-numbers-in-a-sorted-matrix,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 14216000, 'display_runtime': '0', 'question_id': '1476', 'elapsed_time': 84, 'compare_result': '11111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742376049868, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 44, 'total_testcases': 44, 'runtime_percentile': 100, 'status_memory': '14.2 MB', 'memory_percentile': 11.341500000000003, 'pretty_lang': 'C++', 'submission_id': '1578891880', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
350,add-strings,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 9168000, 'display_runtime': '0', 'question_id': '415', 'elapsed_time': 15, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742376118323, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 317, 'total_testcases': 317, 'runtime_percentile': 100, 'status_memory': '9.2 MB', 'memory_percentile': 61.7924, 'pretty_lang': 'C++', 'submission_id': '1578892772', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
352,ugly-number-ii,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '5 ms', 'memory': 11436000, 'display_runtime': '5', 'question_id': '264', 'elapsed_time': 60, 'compare_result': '11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742376770399, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 596, 'total_testcases': 596, 'runtime_percentile': 55.48609999999999, 'status_memory': '11.4 MB', 'memory_percentile': 55.34749999999998, 'pretty_lang': 'C++', 'submission_id': '1578901223', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
353,maximum-gap,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '3 ms', 'memory': 94124000, 'display_runtime': '3', 'question_id': '164', 'elapsed_time': 147, 'compare_result': '11111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742376906339, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 44, 'total_testcases': 44, 'runtime_percentile': 98.8969, 'status_memory': '94.1 MB', 'memory_percentile': 18.780699999999996, 'pretty_lang': 'C++', 'submission_id': '1578902976', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
354,decode-xored-array,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 30652000, 'display_runtime': '0', 'question_id': '1839', 'elapsed_time': 51, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742376973098, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 76, 'total_testcases': 76, 'runtime_percentile': 100, 'status_memory': '30.7 MB', 'memory_percentile': 24.05339999999999, 'pretty_lang': 'C++', 'submission_id': '1578903883', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
355,largest-1-bordered-square,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '9 ms', 'memory': 15664000, 'question_id': '1239', 'elapsed_time': 22, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742377060468, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 84, 'total_testcases': 84, 'runtime_percentile': 82.8571, 'status_memory': '15.7 MB', 'memory_percentile': 37.618899999999975, 'pretty_lang': 'C++', 'submission_id': '1578904988', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
356,array-partition,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '10 ms', 'memory': 31912000, 'display_runtime': '10', 'question_id': '561', 'elapsed_time': 91, 'compare_result': '1111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742377137649, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 85, 'total_testcases': 85, 'runtime_percentile': 56.751100000000015, 'status_memory': '31.9 MB', 'memory_percentile': 82.9032, 'pretty_lang': 'C++', 'submission_id': '1578905966', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
357,find-good-days-to-rob-the-bank,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '12 ms', 'memory': 94316000, 'display_runtime': '12', 'question_id': '2205', 'elapsed_time': 141, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742377688171, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 144, 'total_testcases': 144, 'runtime_percentile': 32.51340000000001, 'status_memory': '94.3 MB', 'memory_percentile': 39.35420000000006, 'pretty_lang': 'C++', 'submission_id': '1578913309', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
358,car-pooling,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 14320000, 'display_runtime': '0', 'question_id': '1184', 'elapsed_time': 60, 'compare_result': '11111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742377924022, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 59, 'total_testcases': 59, 'runtime_percentile': 100, 'status_memory': '14.3 MB', 'memory_percentile': 73.3149, 'pretty_lang': 'C++', 'submission_id': '1578916487', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
359,most-frequent-even-element,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '19 ms', 'memory': 42616000, 'display_runtime': '19', 'question_id': '2486', 'elapsed_time': 94, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742377999401, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 219, 'total_testcases': 219, 'runtime_percentile': 80.45049999999999, 'status_memory': '42.6 MB', 'memory_percentile': 27.63410000000006, 'pretty_lang': 'C++', 'submission_id': '1578917526', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
360,grumpy-bookstore-owner,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '3 ms', 'memory': 36392000, 'display_runtime': '3', 'question_id': '1138', 'elapsed_time': 43, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378060771, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 78, 'total_testcases': 78, 'runtime_percentile': 29.146900000000002, 'status_memory': '36.4 MB', 'memory_percentile': 8.056900000000011, 'pretty_lang': 'C++', 'submission_id': '1578918344', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
361,making-file-names-unique,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '147 ms', 'memory': 115272000, 'display_runtime': '147', 'question_id': '1611', 'elapsed_time': 272, 'compare_result': '1111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378132755, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 34, 'total_testcases': 34, 'runtime_percentile': 67.91029999999986, 'status_memory': '115.3 MB', 'memory_percentile': 46.26809999999992, 'pretty_lang': 'C++', 'submission_id': '1578919347', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
362,kth-largest-sum-in-a-binary-tree,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '60 ms', 'memory': 266788000, 'display_runtime': '60', 'question_id': '2646', 'elapsed_time': 537, 'compare_result': '111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378223466, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 51, 'total_testcases': 51, 'runtime_percentile': 26.875099999999975, 'status_memory': '266.8 MB', 'memory_percentile': 66.35379999999994, 'pretty_lang': 'C++', 'submission_id': '1578920549', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
363,combinations,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '62 ms', 'memory': 109952000, 'display_runtime': '62', 'question_id': '77', 'elapsed_time': 140, 'compare_result': '111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378307452, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 27, 'total_testcases': 27, 'runtime_percentile': 46.69850000000001, 'status_memory': '110 MB', 'memory_percentile': 28.14380000000001, 'pretty_lang': 'C++', 'submission_id': '1578921624', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
364,number-of-black-blocks,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '440 ms', 'memory': 255312000, 'display_runtime': '440', 'question_id': '2889', 'elapsed_time': 814, 'compare_result': '111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378562318, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 2145, 'total_testcases': 2145, 'runtime_percentile': 51.94550000000004, 'status_memory': '255.3 MB', 'memory_percentile': 68.83030000000004, 'pretty_lang': 'C++', 'submission_id': '1578925034', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
365,unique-binary-search-trees,True,Accepted,"{'status_code': 10, 'lang': 'cpp', 'run_success': True, 'status_runtime': '0 ms', 'memory': 8156000, 'display_runtime': '0', 'question_id': '96', 'elapsed_time': 14, 'compare_result': '1111111111111111111', 'code_output': '', 'std_output': '', 'last_testcase': '', 'expected_output': '', 'task_finish_time': 1742378642806, 'task_name': 'judger.judgetask.Judge', 'finished': True, 'total_correct': 19, 'total_testcases': 19, 'runtime_percentile': 100, 'status_memory': '8.2 MB', 'memory_percentile': 18.154600000000016, 'pretty_lang': 'C++', 'submission_id': '1578926128', 'status_msg': 'Accepted', 'state': 'SUCCESS'}"
